sweep_value,run,error_1,error_2,error_3,error_4
1,1,0.17189914081538582,0.2743781227174491,0.48213798359792903,0.7294672418622967
1,2,0.17291351438237715,0.2756468231760507,0.48672963912523637,0.731522688324687
1,3,0.13477642399534995,0.23988294832286403,0.49534946758530946,0.7286204824689055
1,4,0.11539820947953094,0.22680143272705583,0.45025332270897883,0.7148548755123619
1,5,0.1186028210217428,0.23079787089816006,0.45104540917736474,0.7037692027519608
1,6,0.11608289518978447,0.2550359597647735,0.48025021700953807,0.7160002823447277
1,7,0.15408985252681168,0.25285723651422254,0.4960774726863755,0.7304788517699667
1,8,0.12728081528815127,0.2303134743168196,0.4487268720208669,0.7189458676964252
1,9,0.1367809628556149,0.25671423343790434,0.4814145193054322,0.7191075847745045
1,10,0.22721160298775397,0.3174219704235006,0.5100069070548983,0.729664124292587
1,11,0.13774334235787233,0.2505680303843113,0.47127333291941503,0.7302442417804763
1,12,0.11898067255567103,0.24273830392748727,0.47678781751157934,0.7197919181073571
1,13,0.09158007910246471,0.20364365289648365,0.42696799035133637,0.7054993246784291
1,14,0.1396017122755263,0.24183335010248508,0.4983010985055006,0.7266748575501404
1,15,0.11693870904983555,0.22239681914931497,0.441495345263575,0.7161229886838771
1,16,0.1481502786640468,0.25143542489949156,0.46773226103524507,0.7298354297709199
1,17,0.10619760884710704,0.22380993766882123,0.4502999952449215,0.7022975387815793
1,18,0.21577109467820252,0.31251617856832997,0.503636885337685,0.7458350838018492
1,19,0.1296057792365337,0.23828139179497734,0.4574873231724551,0.7227482408266356
1,20,0.11161363494856459,0.2222106300422497,0.4691065536203787,0.7179329989392335
1,21,0.11780728440033914,0.2233161179543423,0.4381310164207866,0.7148498034838494
1,22,0.12110194920172315,0.22632234284143501,0.4488126128131888,0.7188559750008322
1,23,0.16068670696351497,0.269371769641547,0.48554631346758914,0.7325160964905524
1,24,0.13993776751373338,0.2539665823151171,0.469463318222118,0.7251904586903307
1,25,0.15622798950712988,0.25534369542299645,0.4738160577420971,0.7304572480143999
1,26,0.11158317757985714,0.21468502845174356,0.43942331463643247,0.7173627507102264
1,27,0.17354033724256215,0.27884950903575106,0.4901986689929571,0.7207506338226713
1,28,0.11555294538042801,0.2291017512205819,0.44267702323646824,0.7183393196803032
1,29,0.1646475539797548,0.27181001414384093,0.5084037983023686,0.7345493121042835
1,30,0.10961303122443793,0.2227129248566468,0.4442347302302684,0.6984693497962001
2,1,0.1350296558238424,0.21335759259595036,0.369236983363816,0.5494325145317808
2,2,0.14368698569452493,0.22532045998521774,0.391151472797674,0.5822355997030362
2,3,0.14025021597278498,0.20668134488636886,0.3886300735283867,0.5745613656474254
2,4,0.13477226270446171,0.19971789606744786,0.32881091477937235,0.5040323781816528
2,5,0.16009622850055005,0.22389590870339776,0.3482368701386751,0.5224287633763955
2,6,0.1603536899463381,0.22016736629255318,0.38246552760010566,0.5865150433874249
2,7,0.2184550168116395,0.2788143704185946,0.4039820483786621,0.5612605349236907
2,8,0.14633586474141685,0.2032949599191626,0.34100559669274455,0.5315883449218635
2,9,0.10657075843036534,0.16279220762127106,0.32074649941911154,0.4969228353842602
2,10,0.22327367135927717,0.31268084314647143,0.490897555178746,0.6752503439970099
2,11,0.11791535936602096,0.202639013328056,0.3719330239669052,0.5540341655358642
2,12,0.12594057245939372,0.2011918532652894,0.3899282804804516,0.6517851573259917
2,13,0.1723225875448702,0.2452229137255616,0.39606440406642784,0.6328291081541825
2,14,0.17566255620889226,0.2650888856672959,0.43458722138062317,0.6340959525651584
2,15,0.10279538753131483,0.17929828178069684,0.3274350320246861,0.5123775731738098
2,16,0.19984464980760153,0.25334116716289484,0.3828059802520868,0.5367391391040178
2,17,0.2106148710938128,0.2758562785537296,0.4185462542429585,0.5951397467886956
2,18,0.12787289300763663,0.21360869884863087,0.3710979386780565,0.5575647398454986
2,19,0.15295152889821018,0.25483656927507403,0.46284074764946886,0.7042225383627434
2,20,0.19690680989025897,0.2713512759901584,0.3959799113756923,0.5431184889003289
2,21,0.23611909704921819,0.3124189659617385,0.4799383830940443,0.7017073550065145
2,22,0.1306995671010601,0.2155614636800689,0.37504303738956807,0.5497692247329341
2,23,0.18675944139044823,0.2697810864191661,0.4177638029325267,0.6183237417708911
2,24,0.16665385969034788,0.23197604733868524,0.37137457235214966,0.5493662419176575
2,25,0.1814713676023246,0.2387066679537265,0.3587905365980497,0.527893493357323
2,26,0.12998285476281474,0.19031594890896758,0.3229186804522078,0.503470153297426
2,27,0.25412346738163666,0.31494085150402334,0.44966537667841217,0.6140192715859722
2,28,0.10141616335172313,0.1826744268404293,0.34682445061976575,0.5467573064765087
2,29,0.15344447558469929,0.23007144695587736,0.36206907402662675,0.5148121836205682
2,30,0.15469547285663585,0.22758532313086438,0.38855551658506693,0.5662582577155262
3,1,0.17531530207678864,0.29134039722241534,0.4561106913499472,0.6548388323966067
3,2,0.1454269630841302,0.1988889121152872,0.32390198626622646,0.4829775874995638
3,3,0.19399031653335957,0.233460345164248,0.31974467246455107,0.46685150656542457
3,4,0.17480097977590123,0.21521804252485818,0.31546847781284876,0.43687186760020913
3,5,0.13737665302586,0.1968047612369461,0.3546396132250592,0.5546309444322883
3,6,0.17456296430513524,0.22255464523712493,0.32588135690894776,0.4380148437718403
3,7,0.184273394827859,0.2329999268804719,0.34077945585537855,0.5076651824225137
3,8,0.10518709361940766,0.17670328378385072,0.32986593117493995,0.5158045461990076
3,9,0.1510804494514563,0.20853710994277594,0.32639510027797836,0.4794245143272539
3,10,0.2303205724946229,0.271122920944136,0.3717213942728631,0.484160437566021
3,11,0.2060131335232069,0.26765576562982546,0.3836087529559249,0.518812854949418
3,12,0.20766461320961818,0.24663747445036824,0.33624611898851114,0.4443863351247641
3,13,0.16263563128420833,0.21945767983011605,0.35594636932589796,0.5289806848933154
3,14,0.16017954622800862,0.22545303373258796,0.34578256795448303,0.5009517129534158
3,15,0.165842899537174,0.21266186737332898,0.3252857176329791,0.47850984394470203
3,16,0.16317280893422537,0.2084949216883992,0.32906407205759486,0.4582392410149296
3,17,0.22152216307825687,0.2558320351259804,0.33547416057632246,0.44433312604224345
3,18,0.21630230239292755,0.23695781243836436,0.34808835811947714,0.461794106773936
3,19,0.1353318548896928,0.21387795499522222,0.3774310201517029,0.564012281728601
3,20,0.20637735919700775,0.25361776608593145,0.36618143841409934,0.49232799284510315
3,21,0.20943846496665253,0.25720883590393684,0.37823273024114495,0.5253969285749983
3,22,0.11635069702395913,0.1879206008521247,0.33630201197807824,0.5282878004331172
3,23,0.17130092195267205,0.2020624466260548,0.30583106142244415,0.43190781191169547
3,24,0.18111049441700355,0.23327289772521118,0.34857438269495183,0.49878921430048717
3,25,0.23158534637460035,0.26376333935842927,0.3524489544381704,0.4430383652223426
3,26,0.18924294529636668,0.25862585200773375,0.41065473635284266,0.6097466700963463
3,27,0.18827628254766418,0.23628559212550068,0.3513683809221148,0.48247407340765425
3,28,0.17956893537119928,0.2254696070850649,0.34334017218754814,0.495681479453169
3,29,0.19349851667100787,0.2464992511991425,0.3527108720106353,0.510639856108342
3,30,0.1570089010691158,0.2562483286107036,0.44265722902438953,0.6956288292918166
4,1,0.17343625428994788,0.230064379060172,0.35678341005620556,0.5035470054534552
4,2,0.20254464829083452,0.242662148127991,0.3928846549964124,0.5462172367090076
4,3,0.14605883297331634,0.20435379214586327,0.3180586191507218,0.49698179088034805
4,4,0.19136881899817001,0.2206456907715881,0.31027444261064613,0.4058323092435326
4,5,0.18593299156416612,0.21324573488452,0.2826788561445995,0.38709270223013836
4,6,0.16443695721680304,0.2062501471394591,0.3231403849362908,0.43799036809554354
4,7,0.14796447494800238,0.19527006797327912,0.3029721401836589,0.4672433003738304
4,8,0.21035329480885273,0.24034828363930236,0.316401159398676,0.4272062226194997
4,9,0.25195647887897704,0.2868175763595532,0.3939846914263646,0.5031808901697188
4,10,0.24297442124414362,0.3043535617748586,0.4383705137397441,0.6136344939246043
4,11,0.16589419559847096,0.22457619661795283,0.36452680919317737,0.5347855968965559
4,12,0.1658285291988166,0.2133023848825183,0.33312124216949907,0.49446506971548676
4,13,0.14994254539650845,0.17848060992775455,0.2534270244834454,0.371719727520387
4,14,0.10177500183647253,0.1900260348326017,0.3661838428941771,0.6034683622772394
4,15,0.1962904243144189,0.22970736563201405,0.3113835491962185,0.4284558673396691
4,16,0.23428114400862707,0.26479636806551227,0.353230772968507,0.46639632797452396
4,17,0.17221978296380003,0.2277720678124908,0.3116533989561832,0.44285738292120985
4,18,0.174964920571758,0.2113576235750728,0.35415617324086035,0.4817635896041595
4,19,0.1517807069787055,0.2340294561097277,0.36071490887496327,0.5020056253812847
4,20,0.20305929110026497,0.25879955145850186,0.37996929166593707,0.5475325497526631
4,21,0.17443707352781143,0.20678070962531295,0.3145952398910045,0.4834362458750834
4,22,0.1884448373941873,0.22291255981291874,0.29679886841907704,0.388919384580273
4,23,0.21086065590729458,0.25277444065871324,0.32225157702652857,0.4380540708031675
4,24,0.194812527187983,0.22570718504156226,0.30909730560335225,0.4207802949794177
4,25,0.19180558092967578,0.23407444937747487,0.3592552869571387,0.46675830797753054
4,26,0.15335869532970256,0.2090584280490855,0.2955642949855112,0.43829502595732256
4,27,0.15690527675327126,0.2143752644899517,0.34250751858582223,0.4974431646015411
4,28,0.1502821856324013,0.19839821531430682,0.3205404604744227,0.438936067447884
4,29,0.14231903904228674,0.1850793200693222,0.32121219895184033,0.4508296055794429
4,30,0.23306938192382973,0.26896647779931143,0.3688171464739012,0.4885220149443472
5,1,0.11058486854594175,0.16481146433999597,0.27296189637970836,0.42480575043053986
5,2,0.21831084506352547,0.23461094536868288,0.31953767397494154,0.41254741720795723
5,3,0.13462262966264296,0.15660785116859816,0.22438851783156888,0.32246208381506264
5,4,0.2605278579143713,0.2923900167708387,0.36365146268012305,0.45491611412386246
5,5,0.1480703142664511,0.17058189236616067,0.25923163352334927,0.38866931184309406
5,6,0.21736647337997295,0.24269013088646996,0.2996589993638035,0.3821907417166762
5,7,0.2308996023459604,0.2569295469884785,0.2939206755337266,0.3747854505500825
5,8,0.19064619361989593,0.26261652590628093,0.3842466911674761,0.5289356785633191
5,9,0.13086289413069263,0.16759687830412195,0.254792215231814,0.3852779735458409
5,10,0.16696608114679434,0.20951668015455105,0.32639616895677337,0.46696213118183644
5,11,0.20582516468312145,0.24643257879759653,0.3508769307256923,0.4711731133562034
5,12,0.16748423520837677,0.21140483187181994,0.2964984488262323,0.41558454085258156
5,13,0.1834462651270003,0.2219831869435051,0.3040296486603968,0.4106349653571023
5,14,0.16135727889719625,0.1818174909672375,0.2734916422657451,0.3720042173108825
5,15,0.14767303343036603,0.20521702088558905,0.2965401082782499,0.41058430964741455
5,16,0.09304386532732929,0.1315514861991527,0.24790987864431813,0.37610681326539863
5,17,0.14045327472222702,0.19501466650350374,0.3167827799587461,0.46289774998471156
5,18,0.1978159172222676,0.22957533870045657,0.29687065799819534,0.3919025738424069
5,19,0.2485443551082678,0.25580051871528137,0.3430639367604504,0.4412104325364367
5,20,0.1614666604691351,0.20576917264155012,0.2947620976067596,0.42551492501948157
5,21,0.1768373289344924,0.20441448535919782,0.2928288941670319,0.39504597082222803
5,22,0.15361087775928506,0.17785365241953172,0.2518639736299456,0.36369891935686044
5,23,0.13866446887744543,0.1870129778497106,0.28000526342802207,0.42300225475937786
5,24,0.17233953544297217,0.18698880212078342,0.26763242063750814,0.41065754537234284
5,25,0.17857837226034692,0.20747711814316214,0.26662424074705765,0.35851985729317165
5,26,0.1559079024180309,0.19899351442457863,0.2931952835608381,0.4059837331572399
5,27,0.15510437746910072,0.20086629433763564,0.2981722528122562,0.424012808547908
5,28,0.21888389028665298,0.21841911437909448,0.2796580796225217,0.3794548840418172
5,29,0.1569709736762041,0.19014922043473553,0.26648797773444355,0.3703120912431061
5,30,0.13582353047790424,0.18229240076370548,0.29434360032777257,0.44996735936751703
6,1,0.17187454177113873,0.2042074485635124,0.2613633247363185,0.36011245718782753
6,2,0.16682840740505606,0.1921975144523931,0.27443734446666335,0.3741982896745006
6,3,0.16620375602880794,0.2065341547341004,0.3656755471675107,0.49862847261770077
6,4,0.17007546423249706,0.19465512711356406,0.26064120222999243,0.361291414230221
6,5,0.1708914596553617,0.2026827982913608,0.2725554556139299,0.3733728316510181
6,6,0.1113981408770138,0.14433429075801094,0.24244624195520745,0.35903298871976663
6,7,0.13907233411700484,0.17490156347396826,0.24835156283991247,0.3416194169453977
6,8,0.1427508774245622,0.16102619042879707,0.2944472534038975,0.43777833690728035
6,9,0.20917185051741372,0.25794692549749204,0.3737445729258277,0.5241172313661351
6,10,0.21526838656802055,0.2735255409696659,0.37927010642465153,0.5200269268976337
6,11,0.13241874452147925,0.16132281325594733,0.24168814169562874,0.3314988805449859
6,12,0.13914033088424477,0.16679311724429383,0.25868680329176535,0.36542990299940065
6,13,0.16743893499282736,0.2267680877791554,0.3394876903117121,0.4884759559034617
6,14,0.161727600389347,0.2200103337976771,0.3387399392310829,0.4903422126611343
6,15,0.24396353083849365,0.25350218905049415,0.2838412020660766,0.35594343434286724
6,16,0.1807060952355837,0.21267667766575826,0.28134841873191524,0.36568290222808897
6,17,0.1877541731275292,0.19705162196983866,0.2546641243194352,0.33324946947978407
6,18,0.2298376789562324,0.25323227063719495,0.31732439276288005,0.4063547195363656
6,19,0.1494787967222767,0.17734779850732654,0.24289369706617092,0.33725807814829284
6,20,0.13783567961098728,0.1776510835486121,0.26186738552878475,0.37982591051920245
6,21,0.2434255377214588,0.26871706255179517,0.3112035362327907,0.39499261537471503
6,22,0.16447180544167309,0.21764961691678603,0.3144215326166247,0.44559820341746287
6,23,0.13925293606732422,0.16996635940676916,0.26397027695805475,0.3592945020899009
6,24,0.1713301980976934,0.21559850686391607,0.2943033702568549,0.40131386930637825
6,25,0.20522048464780251,0.25086799575766466,0.3514229449111645,0.4733039309021772
6,26,0.16435809921917474,0.2008003046441596,0.2854905334185083,0.4027455320128421
6,27,0.15777309968576722,0.21239941411485674,0.3356239523768242,0.4695540875974842
6,28,0.16073193205009811,0.18244928504682828,0.24316671188197655,0.347051215513847
6,29,0.25651426208358014,0.26209183857456597,0.3027317669355713,0.3828260838430922
6,30,0.1630746286043804,0.19205951898190338,0.2637595512995019,0.3815172520160852
7,1,0.1476492037488035,0.18162454182225207,0.2529475542676535,0.3513325644140558
7,2,0.19017487264332655,0.2097333135452121,0.2926970197027337,0.39316316899491616
7,3,0.11853301909645035,0.16703470599127931,0.25558736921285274,0.36569109275436396
7,4,0.19851611232007738,0.22012156478041547,0.27759534801988395,0.3725756725017513
7,5,0.18845577113751483,0.21382096697688732,0.2793801201922003,0.34510989997499464
7,6,0.21250910132579315,0.21820269917377544,0.24730284448990372,0.3449227888201383
7,7,0.16532289270743805,0.18626780002529075,0.2326267087912385,0.3098106292506016
7,8,0.1926713792683483,0.22165048742013793,0.2850894195364043,0.35577784779113214
7,9,0.18841749022425014,0.2173006694190278,0.29017978498324937,0.42509541389036143
7,10,0.12944441029516884,0.16607522948783812,0.27493305826453684,0.4227990346028075
7,11,0.22362876265346238,0.25298395355979564,0.31653889914768496,0.41087943514319886
7,12,0.13717199133461455,0.17480943672972932,0.25654655860105546,0.36429452173075716
7,13,0.22408299571197215,0.2457466264456447,0.3154077538044897,0.4165575909817649
7,14,0.2313329649673066,0.24326823467895753,0.2625392292945751,0.31897701566643283
7,15,0.2171080617294527,0.22299074705642707,0.2944919171343718,0.36592748827911054
7,16,0.2557154382834354,0.27014024579593987,0.32702967224051344,0.4113140923726794
7,17,0.1844411014761943,0.19527982724756748,0.23962887330454097,0.3080213018761871
7,18,0.1764605504238205,0.21340558341625954,0.3155175648539069,0.43877590391183535
7,19,0.2136041230747547,0.23382242823688915,0.28483529980603617,0.3457753916271596
7,20,0.13602559931286423,0.15757424513470245,0.24114060617079358,0.34042688676171384
7,21,0.22913188258016284,0.2372272745341806,0.2649985141801607,0.31657126097238236
7,22,0.20214874086646972,0.2177806505700707,0.2670462689374297,0.3402432241401986
7,23,0.1756738892311376,0.21943730909946296,0.3164519793083564,0.4548138543939798
7,24,0.20124816310483118,0.22660498690750902,0.2703394678551502,0.34313827787845225
7,25,0.2579523426455599,0.2681581731483249,0.29726372031366743,0.3675044579354624
7,26,0.18841105887100523,0.21485230642940842,0.2914585798227638,0.39684140474880925
7,27,0.1817965961417302,0.213401768921437,0.28547604493875023,0.3877905251951942
7,28,0.12684177052608642,0.14827361183803173,0.21167447172650508,0.32509029014768026
7,29,0.17978305712591364,0.19167562873952435,0.2293799172953164,0.305388782501505
7,30,0.18504160978281442,0.20037943459525037,0.24043512237701822,0.3073641605956214
8,1,0.18815328496324762,0.19742327259310813,0.24476740802782126,0.3154087747848273
8,2,0.18135583994905077,0.19137222144201843,0.2711652963693526,0.35722756572916453
8,3,0.19475568134916094,0.20813861861408325,0.24255911904660651,0.29843325764354867
8,4,0.17491223254516328,0.1954490948436564,0.2661251000544528,0.34587721408494976
8,5,0.21464570767953559,0.2248267710425699,0.24635284656352763,0.3038239070132781
8,6,0.1697408111478461,0.18921123956950803,0.25058233292504134,0.34399250231090917
8,7,0.19718687062248316,0.23186751181332607,0.30381607973122954,0.38456856859040806
8,8,0.22987787746532348,0.23481463810208186,0.2680137520647409,0.3099758990283184
8,9,0.23591769602673973,0.24924413341346116,0.28068222788633623,0.3430346184233892
8,10,0.18204409982176512,0.20235834378369263,0.2513660301656914,0.3285624605070454
8,11,0.13138555665822077,0.1659985204857545,0.2638377917664053,0.36150422076962524
8,12,0.16171748123914684,0.1949195370761142,0.26494087073640715,0.36782554647201054
8,13,0.1601731623044466,0.17361141896705684,0.2582333780515336,0.38372476596975413
8,14,0.15651249229444347,0.1878718529416323,0.24571368994537127,0.368983997530662
8,15,0.23177728436636827,0.24778586137880884,0.29111895463691423,0.3608389110307989
8,16,0.15901729427816785,0.18572551572898507,0.23406642889245632,0.30138348074389143
8,17,0.1726211451647176,0.2051497188579372,0.28572219077344096,0.4114469489647897
8,18,0.2149636925242035,0.21948210750124333,0.24181401083555504,0.2974773714927756
8,19,0.13961937832921217,0.1779654772592405,0.26173830129343756,0.3726934482503787
8,20,0.24414668894059202,0.2568780051061131,0.2823827901195354,0.33748972674850203
8,21,0.26702374495073716,0.2901225789026521,0.3180564765669776,0.3640783194842679
8,22,0.1454253131962044,0.1718377500906838,0.21738311879623348,0.2865039698309558
8,23,0.1859939030549428,0.19152705465862319,0.21937149142352821,0.28477656203056184
8,24,0.1896797067402916,0.2031812055418892,0.24447375649931036,0.3055250026405734
8,25,0.14622926513374812,0.15512685724744177,0.22960632097087838,0.34178356932403275
8,26,0.15726587262858668,0.2075143684542527,0.32245950418016905,0.47256669005294977
8,27,0.20416137376618804,0.2172518030577663,0.2542327980525305,0.30795050572289684
8,28,0.19369131281639634,0.20667504726962277,0.23352928627101074,0.2951317613623086
8,29,0.21123277601529705,0.23550481908388152,0.29784697733047527,0.3711578162226446
8,30,0.1705312670451496,0.20127180969602804,0.2652353409562333,0.3660051160959919
9,1,0.23762497900384563,0.2408450205380951,0.28060015973986085,0.34348136788105654
9,2,0.18366447457588195,0.1910410097274695,0.21734923015411428,0.266682298385788
9,3,0.2664891032974625,0.27355584341264316,0.2948763012362985,0.33620829648805944
9,4,0.21419678693606956,0.22638852121650765,0.2558843512713765,0.30064022928542933
9,5,0.1553975495829255,0.18777571665167742,0.2565429386549677,0.34259566720883816
9,6,0.22577236493025515,0.2331113030917502,0.24320106885568885,0.29221810329510206
9,7,0.24052157396043863,0.24965833278882682,0.29902719248673826,0.3551603362300697
9,8,0.25187202409082704,0.26881399155059865,0.3063374965323714,0.3785646384462311
9,9,0.20068517584758172,0.22728842232181468,0.2814166732731909,0.3549563487431754
9,10,0.1551871079843743,0.1973369024788248,0.3053864668701702,0.4188623610051846
9,11,0.21373679167225873,0.22102133316417585,0.24506338886606568,0.2893465699365147
9,12,0.10509852411828248,0.14514829922229064,0.23879963872470195,0.3704217137000845
9,13,0.17254310881281343,0.1898742250674187,0.2295417952341027,0.31651235056611965
9,14,0.18181725810938776,0.2027023439075329,0.27159922664940955,0.3386774205869369
9,15,0.2489567582775079,0.2541295730302089,0.2775890142855988,0.3363655151513552
9,16,0.19775801069108853,0.2146144199394998,0.25591430177834507,0.32638086716484555
9,17,0.20915254157679497,0.21673997477484394,0.2500760161333541,0.3117452883589311
9,18,0.20507946954235956,0.2272316432798066,0.2895573466749783,0.3713896189337143
9,19,0.21455625691988614,0.21756858661098666,0.26417645239986054,0.32757615882328045
9,20,0.19512299980077902,0.2083627242262426,0.2414057825276195,0.30773604098582935
9,21,0.12397689038217968,0.15250229923736203,0.23054069354822387,0.3395877835882818
9,22,0.20535689574602597,0.21093380534263959,0.24537009361744036,0.29457097160172463
9,23,0.19213025282852406,0.22138104739461034,0.2632062047182496,0.3354548524039842
9,24,0.21186730159399317,0.2423802974993492,0.2997955571188918,0.38283694980595084
9,25,0.2442709061421202,0.2671616255354108,0.315488194932818,0.38636379167170126
9,26,0.15395976797455665,0.17724000629631634,0.22361463935974474,0.3010723406629066
9,27,0.2517326861791424,0.26536309150248694,0.2927595790121164,0.3436343257344358
9,28,0.20573952772822107,0.22694336938938514,0.2744486713156008,0.37247750179371425
9,29,0.1982473896931613,0.22097011296539393,0.28335240758715036,0.39350608398794984
9,30,0.15434887047947882,0.167544551624528,0.22752066666483686,0.30816220840910163
10,1,0.19744192988126535,0.23438913336106074,0.31341698906579035,0.41300750078051407
10,2,0.18459195594287003,0.20617923326736753,0.2454404308019405,0.3003710444444536
10,3,0.15044211547209765,0.18063614594643912,0.24798422064990358,0.3509508016970031
10,4,0.16464156405556163,0.18066344117648095,0.2223017744687477,0.2813778526723426
10,5,0.1872545402952049,0.20683963773524885,0.26147948795229303,0.3440463459132634
10,6,0.17172040065515157,0.19291871892232682,0.25159657649500244,0.3343973376771491
10,7,0.17806583049322378,0.19574162452788998,0.2336591995029212,0.3036053437793729
10,8,0.18658959772984804,0.2138641373458295,0.29653521010846384,0.3766345385915862
10,9,0.17412682280495295,0.19509908810838064,0.2516713829000439,0.33296410137267124
10,10,0.1717330972639963,0.19438131507963027,0.247342836838414,0.3358282613495061
10,11,0.17463704238930242,0.18611467489873648,0.22588430035237866,0.2902100219762871
10,12,0.16282108891372452,0.17979106292241742,0.2485955975461692,0.31172582635159307
10,13,0.194085463608443,0.20597385079750954,0.24363837644436756,0.30531256806166523
10,14,0.20808297915049995,0.22063311319450152,0.23794496906438412,0.2765147577861703
10,15,0.19167886004309856,0.21072255107930193,0.2689375564903985,0.34459022207818074
10,16,0.16467903439474801,0.18712007332046598,0.2237440252517074,0.2926839263579396
10,17,0.23081107255626993,0.24240241126540146,0.2640584507104991,0.3142856927649852
10,18,0.13176418520635313,0.15011150278850202,0.19432173490160526,0.2826475143243137
10,19,0.15193869890779207,0.1729186239022762,0.23347391523420716,0.3288311518758126
10,20,0.1823537651860113,0.20496203236238697,0.26729370789857587,0.3369951738837067
10,21,0.21122701011201506,0.21675810478770396,0.24598026488172187,0.3043388445977318
10,22,0.2244223920339101,0.22752138247446682,0.24465731640252555,0.2915710616981578
10,23,0.19903579646579247,0.19775067415945918,0.24272811715714204,0.28537416558122836
10,24,0.21437880445605775,0.22779125239994455,0.26946520634782073,0.32077717104615616
10,25,0.17427160375001927,0.19322360124573634,0.22887767913150503,0.3041332201351531
10,26,0.1808651828139377,0.19476228935799522,0.23138761288972567,0.28726013874679684
10,27,0.16614055291029864,0.17693477850912992,0.22605986407357398,0.29441575768306855
10,28,0.15710193058017397,0.17391299519742073,0.22624660501493632,0.3031318412766251
10,29,0.1966000131223748,0.2060475830680998,0.23562589082346796,0.2872500782250325
10,30,0.1216047562216043,0.15063330130844535,0.20985549072393972,0.2863200353481737
11,1,0.15390165924669924,0.18093744900622266,0.24287487328062987,0.3049416982984463
11,2,0.183452854535836,0.2052765759695518,0.26217649610426164,0.3426531509044312
